,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,lesbian,make,need,know,great,vital,tribunal,employment,work,feel,stand,life,article,debate,help
Topic 1,equality,male,female,option,monitoring,application,note,applicant,information,process,read,practice,wrong,guidance,highlight
Topic 2,concept,rely,gender,follow,role,wish,sure,homophobia,regressive,notion,associate,similar,societal,stereotypical,fight
Topic 3,good,process,gender,personal,help,young,year,policy,body,basis,people,refer,assume,special,category
Topic 4,datum,gather,personal,state,provide,government,transgender,hold,require,list,employer,recruitment,employee,useful,permission
Topic 5,discriminate,report,choose,like,respond,note,recommendation,correct,birth,review,policy,discrimination,particular,ensure,group
Topic 6,characteristic,protect,gender,identity,define,reassignment,datum,sexual,information,orientation,appear,collect,therapy,bisexual,conversion
Topic 7,term,duty,public,list,meaning,consider,word,form,important,relate,aware,language,equality,understanding,sector
Topic 8,thank,conference,today,support,speak,look,supporter,love,wish,happy,speech,join,event,receive,sign
Topic 9,time,view,hope,artificial,organization,different,discussion,homosexuality,society,reject,subject,concerned,express,progressive,critical
Topic 10,right,people,woman,information,person,trans,status,category,identify,special,mean,campaign,defend,attract,biological
Topic 11,issue,question,meet,lead,point,want,raise,confusing,clear,hear,hormone,come,tell,authentic,addictive
